trace file for the simulation
format of the file
<event> <time> <item id> <server status> <queue size>

a	46.7852	1	0	0
s	46.7852	1	1	0
d	50.7993	1	0	0
a	58.2897	2	0	0
s	58.2897	2	1	0
d	59.7756	2	0	0
a	62.0426	3	0	0
s	62.0426	3	1	0
d	67.1822	3	0	0
a	69.3855	4	0	0
s	69.3855	4	1	0
d	70.1545	4	0	0
a	70.7504	5	0	0
s	70.7504	5	1	0
d	72.796	5	0	0
a	82.987	6	0	0
s	82.987	6	1	0
d	84.0514	6	0	0
a	85.3795	7	0	0
s	85.3795	7	1	0
d	90.0445	7	0	0
a	93.7147	8	0	0
s	93.7147	8	1	0
a	110.462	9	1	0
a	117.528	10	1	1
d	123.12	8	1	2
s	123.12	9	1	1
a	130.934	11	1	1
a	131.015	12	1	2
d	135.694	9	1	3
s	135.694	10	1	2
a	136.672	13	1	2
d	150.59	10	1	3
s	150.59	11	1	2
a	174.239	14	1	2
a	181.051	15	1	3
d	183.633	11	1	4
s	183.633	12	1	3
a	185.473	16	1	3
d	187.553	12	1	4
s	187.553	13	1	3
a	189.028	17	1	3
d	191.046	13	1	4
s	191.046	14	1	3
d	193.922	14	1	3
s	193.922	15	1	2
d	199.5	15	1	2
s	199.5	16	1	1
a	201.589	18	1	1
d	206.806	16	1	2
s	206.806	17	1	1
d	210.293	17	1	1
s	210.293	18	1	0
d	212.002	18	0	0
a	221.637	19	0	0
s	221.637	19	1	0
d	223.176	19	0	0
a	226.216	20	0	0
s	226.216	20	1	0
a	227.143	21	1	0
a	229.378	22	1	1
a	229.694	23	1	2
a	230.234	24	1	3
a	234.556	25	1	4
d	234.599	20	1	5
s	234.599	21	1	4
d	240.003	21	1	4
s	240.003	22	1	3
a	248.203	26	1	3
a	249.24	27	1	4
d	250.13	22	1	5
s	250.13	23	1	4
d	251.872	23	1	4
s	251.872	24	1	3
d	253.063	24	1	3
s	253.063	25	1	2
d	253.085	25	1	2
s	253.085	26	1	1
d	253.087	26	1	1
s	253.087	27	1	0
d	256.53	27	0	0
a	260.178	28	0	0
s	260.178	28	1	0
d	266.726	28	0	0
a	269.442	29	0	0
s	269.442	29	1	0
a	270.661	30	1	0
d	277.934	29	1	1
s	277.934	30	1	0
d	284.783	30	0	0
a	296.845	31	0	0
s	296.845	31	1	0
a	299.573	32	1	0
d	313.499	31	1	1
s	313.499	32	1	0
a	319.723	33	1	0
a	320.316	34	1	1
a	329.33	35	1	2
a	338.421	36	1	3
a	342.139	37	1	4
a	344.725	38	1	5
a	345.965	39	1	6
d	346.639	32	1	7
s	346.639	33	1	6
a	348.202	40	1	6
d	351.705	33	1	7
s	351.705	34	1	6
d	353.777	34	1	6
s	353.777	35	1	5
d	359.085	35	1	5
s	359.085	36	1	4
a	359.283	41	1	4
a	359.648	42	1	5
a	361.714	43	1	6
d	364.552	36	1	7
s	364.552	37	1	6
d	368.139	37	1	6
s	368.139	38	1	5
d	374.816	38	1	5
s	374.816	39	1	4
d	376.971	39	1	4
s	376.971	40	1	3
a	377.275	44	1	3
d	380.443	40	1	4
s	380.443	41	1	3
a	381.18	45	1	3
d	387.569	41	1	4
s	387.569	42	1	3
a	394.388	46	1	3
d	398.007	42	1	4
s	398.007	43	1	3
d	399.544	43	1	3
s	399.544	44	1	2
a	400.375	47	1	2
a	400.446	48	1	3
a	402.445	49	1	4
d	404.161	44	1	5
